,State,month,Confirmed
592,NJ,December,525438
593,NM,December,138319
594,NV,December,220512
595,NY,December,960936
596,OH,December,700380
597,OK,December,290936
598,OR,December,113909
599,PA,December,640305
600,RI,December,81951
601,SC,December,307507
602,SD,December,99010
603,TN,December,586802
604,TX,December,1756126
605,UT,December,276732
606,VA,December,349568
607,VT,December,7412
608,WA,December,246752
609,WI,December,527019
610,WV,December,90284
611,WY,December,44409
